"skill_id","skills","demand_count","avg_salary"
95,"pyspark","2","208172"
218,"bitbucket","2","189155"
85,"watson","1","160515"
65,"couchbase","1","160515"
206,"datarobot","1","155486"
220,"gitlab","3","154500"
35,"swift","2","153750"
102,"jupyter","3","152777"
93,"pandas","9","151821"
59,"elasticsearch","1","145000"
27,"golang","1","145000"
94,"numpy","5","143513"
75,"databricks","10","141907"
169,"linux","2","136508"
213,"kubernetes","2","132500"
219,"atlassian","5","131162"
250,"twilio","1","127000"
96,"airflow","5","126103"
106,"scikit-learn","2","125781"
211,"jenkins","3","125436"
238,"notion","1","125000"
3,"scala","5","124903"
57,"postgresql","4","123879"
81,"gcp","3","122500"
191,"microstrategy","2","121619"
